record_id,pref_code,pref_name,area_code,area_name,facility_name,municipality,linkage_match_status,linkage_match_method,current_longitude,current_latitude,reference_status,reference_kind,reference_id,reference_name,reference_address,reference_longitude,reference_latitude,reference_area_code,distance_m,audit_status
R7-2105-18,21,岐阜県,2105,飛騨,下呂市立金山病院,下呂市,matched,normalized_exact,137.14561291485003,35.66782048943519,unique,病院,2111661000013,下呂市立金山病院,岐阜県下呂市金山町金山９７３番地６,137.145669,35.667576,2105,27.7,agree
R7-2105-19,21,岐阜県,2105,飛騨,社団医療法人 古川病院,飛騨市,candidate_only,none,,,unique,病院,2111661000087,社団医療法人　古川病院,岐阜県飛騨市古川町三之町８－２０,137.183360,36.235593,2105,,missing_with_reference
R7-2105-20,21,岐阜県,2105,飛騨,アルプスベルクリニック,高山市,matched,normalized_exact,137.22438009317474,36.15127159853373,unique,診療所,2121662007491,アルプスベルクリニック,岐阜県高山市山田町３１０,137.224385,36.151457,2105,20.6,agree
R7-2105-21,21,岐阜県,2105,飛騨,ナチュラルクリニック２１,高山市,matched,normalized_exact,137.22549469707852,36.152096438197354,unique,診療所,2121662001360,ナチュラルクリニック２１,岐阜県高山市下林町５１７番地の６,137.225455,36.152215,2105,13.7,agree
R7-2105-22,21,岐阜県,2105,飛騨,医療法人下呂温泉渓泉会 黒木医院,下呂市,unmatched,none,,,none,,,,,,,,,missing_without_reference
R7-2105-23,21,岐阜県,2105,飛騨,光華眼科医院,高山市,matched,normalized_exact,137.247769130185,36.14142266273918,none,,,,,,,,,no_reference
R7-2105-24,21,岐阜県,2105,飛騨,村瀬眼科クリニック,下呂市,matched,normalized_exact,137.22359003432993,35.86057552584867,unique,診療所,2121662007386,村瀬眼科クリニック,岐阜県下呂市萩原町花池１７ー１,137.225753,35.860610,2105,195.0,minor_gap
R7-2105-25,21,岐阜県,2105,飛騨,下呂市立小坂診療所,下呂市,matched,normalized_exact,137.25895728206308,35.951582450692534,unique,診療所,2121662000340,下呂市立小坂診療所,岐阜県下呂市小坂町大島１９６５番地,137.258945,35.951608,2105,3.0,agree
R7-2201-14,22,静岡県,2201,賀茂,医療法人社団健育会 熱川温泉病院,東伊豆町,matched,normalized_exact,139.05329918995426,34.80685111514742,unique,病院,2211225100380,医療法人社団健育会　熱川温泉病院,静岡県賀茂郡東伊豆町白田４２４,139.053832,34.806840,2201,48.7,agree
R7-2201-15,22,静岡県,2201,賀茂,医療法人社団康心会 康心会伊豆東部病院,東伊豆町,matched,normalized_exact,139.04380455991648,34.779051643594386,unique,病院,2211225100540,医療法人社団康心会　康心会伊豆東部病院,静岡県賀茂郡東伊豆町稲取１７－２,139.044087,34.778891,2201,31.4,agree
R7-2201-16,22,静岡県,2201,賀茂,下田メディカルセンター,下田市,matched,normalized_exact,138.93803378015525,34.67420646190553,unique,病院,2211225101550,下田メディカルセンター,静岡県下田市六丁目４－１０,138.938128,34.674206,2201,8.6,agree
R7-2201-17,22,静岡県,2201,賀茂,公益社団法人 地域医療振興協会 伊豆今井浜病院,河津町,matched,normalized_exact,139.0046643,34.7540358,unique,病院,2211225101420,公益社団法人地域医療振興協会　伊豆今井浜病院,静岡県賀茂郡河津町見高１７８,139.004035,34.754226,2201,61.3,agree
R7-2201-18,22,静岡県,2201,賀茂,医療法人社団健育会西伊豆健育会病院,西伊豆町,matched,normalized_exact,138.7804051687986,34.770365948567466,unique,病院,2211225101130,医療法人社団健育会西伊豆健育会病院,静岡県賀茂郡西伊豆町仁科１３８－２,138.780470,34.770165,2201,23.1,agree
R7-2201-19,22,静岡県,2201,賀茂,医療法人社団 桑寿会 下田温泉病院,下田市,matched,normalized_exact,138.96760064049965,34.672367996303834,unique,病院,2211225101260,医療法人社団桑寿会下田温泉病院,静岡県下田市柿崎９９７－２,138.967367,34.672225,2201,26.6,agree
R7-2201-20,22,静岡県,2201,賀茂,のぞみ記念 下田循環器・腎臓クリニック,下田市,matched,normalized_exact,138.9399274,34.6875963,unique,診療所,2222225115600,のぞみ記念下田循環器・腎臓クリニック,静岡県下田市高馬１４７－１,138.938547,34.690907,2201,389.2,minor_gap
R7-2201-21,22,静岡県,2201,賀茂,河井医院,下田市,matched,normalized_exact,138.9421441,34.6741645,unique,診療所,2222225108400,河井医院,静岡県下田市二丁目１３－３,138.942322,34.674234,2201,18.0,agree
R7-2201-22,22,静岡県,2201,賀茂,臼井医院,下田市,matched,normalized_exact,138.9436925,34.67430773,unique,診療所,2222225108370,医療法人社団　臼井医院,静岡県下田市二丁目３－２７,138.943655,34.674317,2201,3.6,agree
R7-2202-14,22,静岡県,2202,熱海伊東,国際医療福祉大学熱海病院,熱海市,matched,normalized_exact,139.0834932,35.10353071,unique,病院,2211225300180,国際医療福祉大学熱海病院,静岡県熱海市東海岸町１３－１,139.082652,35.103079,2202,91.5,agree
R7-2202-15,22,静岡県,2202,熱海伊東,伊東市民病院,伊東市,matched,normalized_exact,139.0878375,34.9603979,unique,病院,2211225301480,伊東市民病院,静岡県伊東市岡１９６－１,139.088019,34.960428,2202,16.9,agree
R7-2202-16,22,静岡県,2202,熱海伊東,医療法人社団伊豆七海会 熱海所記念病院,熱海市,matched,normalized_exact,139.06825579237466,35.090985425356884,unique,病院,2211225300920,医療法人社団伊豆七海会　熱海所記念病院,静岡県熱海市昭和町２０－２０,139.068515,35.091497,2202,61.6,agree
R7-2202-17,22,静岡県,2202,熱海伊東,医療法人社団伊豆七海会 熱海 海の見える病院,熱海市,matched,normalized_exact,139.06274495401107,35.09425585478995,unique,病院,2211225301510,医療法人社団　伊豆七海会　熱海　海の見える病院,静岡県熱海市熱海字上ノ山１８４３番１,139.062643,35.094646,2202,44.4,agree
R7-2202-18,22,静岡県,2202,熱海伊東,社会福祉法人愛誠会南熱海病院,熱海市,unmatched,none,,,unique,病院,2211225301220,社会福祉法人愛誠会　南熱海病院,静岡県熱海市下多賀４７７,139.081127,35.045752,2202,,missing_with_reference
R7-2202-19,22,静岡県,2202,熱海伊東,熱海ちとせ病院,熱海市,matched,normalized_suffix,139.0978792226323,35.14022430162745,none,,,,,,,,,no_reference
R7-2202-20,22,静岡県,2202,熱海伊東,はぁとふる内科・泌尿器科 伊豆高原,伊東市,matched,normalized_exact,139.1061629,34.8757273,unique,診療所,2222225319990,はぁとふる内科・泌尿器科伊豆高原,静岡県伊東市八幡野９４７－６５１,139.106216,34.875698,2202,5.8,agree
R7-2202-21,22,静岡県,2202,熱海伊東,医療法人社団望洋会 横山医院,伊東市,unmatched,none,,,none,,,,,,,,,missing_without_reference
R7-2202-22,22,静岡県,2202,熱海伊東,伊豆高原ゆうゆうの里診療所,伊東市,matched,normalized_exact,139.1139565,34.87474223,unique,診療所,2222225308590,伊豆高原ゆうゆうの里診療所,静岡県伊東市八幡野１０２７,139.113687,34.874548,2202,32.7,agree
R7-2202-23,22,静岡県,2202,熱海伊東,上山レディースクリニック,伊東市,matched,normalized_exact,139.1196516702483,34.93564239933949,unique,診療所,2222225324170,上山レディースクリニック,静岡県伊東市吉田５７３番３,139.119735,34.935685,2202,9.0,agree
R7-2203-14,22,静岡県,2203,駿東田方,順天堂大学医学部附属静岡病院,伊豆の国市,matched,normalized_exact,138.9360017,35.02923018,unique,病院,2211225602060,順天堂大学医学部附属静岡病院,静岡県伊豆の国市長岡１１２９,138.935834,35.029362,2203,21.2,agree
R7-2203-15,22,静岡県,2203,駿東田方,静岡県立静岡がんセンター,長泉町,matched,normalized_exact,138.8843721,35.15639193,unique,病院,2211227100690,静岡県立静岡がんセンター,静岡県駿東郡長泉町下長窪１００７,138.884471,35.156348,2203,10.2,agree
R7-2203-16,22,静岡県,2203,駿東田方,独立行政法人国立病院機構静岡医療センター,清水町,matched,normalized_exact,138.8896913,35.10015464,unique,病院,2211225602800,独立行政法人国立病院機構静岡医療センター,静岡県駿東郡清水町長沢７６２－１,138.889751,35.100159,2203,5.5,agree
R7-2203-17,22,静岡県,2203,駿東田方,沼津市立病院,沼津市,matched,normalized_exact,138.835069,35.119713,unique,病院,2211225603940,沼津市立病院,静岡県沼津市東椎路字春ノ木５５０,138.835144,35.119656,2203,9.3,agree
R7-2203-18,22,静岡県,2203,駿東田方,国立駿河療養所,御殿場市,matched,normalized_exact,138.9392004629771,35.228304058555885,unique,病院,2211225700100,国立駿河療養所,静岡県御殿場市神山１９１５,138.939824,35.228813,2203,80.1,agree
R7-2203-19,22,静岡県,2203,駿東田方,一般財団法人 芙蓉協会 聖隷沼津病院,沼津市,matched,normalized_exact,138.8505362,35.09447952,unique,病院,2211225604660,一般財団法人芙蓉協会　聖隷沼津病院,静岡県沼津市松下七反田９０２－６,138.850588,35.094520,2203,6.5,agree
R7-2203-20,22,静岡県,2203,駿東田方,ＪＡ静岡厚生連中伊豆温泉病院,伊豆市,unmatched,none,,,unique,病院,2211225500300,ＪＡ静岡厚生連中伊豆温泉病院,静岡県伊豆市下白岩,138.983944,34.960037,2203,,missing_with_reference
