record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-3401-18,3401,地方独立行政法人 広島市立病院機構 広島市立北部医療センター安佐市民病院,広島市立病院機構広島市立北部医療センタ安佐市民病院,広島市安佐北区,candidate_only,none,no_name_match,1308,0.8372,150963,地方独立行政法人広島市立病院機構　広島市立安佐市民病院,広島市立病院機構広島市立安佐市民病院,1,広島市安佐北区可部南２－１－１,広島市安佐北区,527,,
R7-3401-19,3401,医療法人あかね会 土谷総合病院,あかね会土谷総合病院,広島市中区,matched,normalized_exact,,1,,150113,医療法人あかね会　土谷総合病院,あかね会土谷総合病院,1,広島市中区中島町３－３０,広島市中区,394,132.45158489671752,34.390253251926204
R7-3401-20,3401,済生会 広島病院,済生会広島病院,坂町,matched,normalized_exact,,1,,151783,済生会広島病院,済生会広島病院,1,安芸郡坂町北新地２丁目３番１０号,坂町,312,132.51849693644556,34.35098123665844
R7-3401-21,3401,県立二葉の里病院,県立二葉の里病院,広島市東区,unmatched,none,no_name_match,0,,,,,,,,,,
R7-3401-22,3401,マツダ株式会社マツダ病院,マツダ株式会社マツダ病院,府中町,matched,normalized_exact,,1,,151765,マツダ株式会社マツダ病院,マツダ株式会社マツダ病院,1,安芸郡府中町青崎南２番１５号,府中町,270,132.50461635111802,34.3772381190665
R7-3401-23,3401,広島県厚生農業協同組合連合会吉田総合病院,広島県吉田総合病院,安芸高田市,matched,normalized_exact,,1,,151716,広島県厚生農業協同組合連合会　吉田総合病院,広島県吉田総合病院,1,安芸高田市吉田町吉田３６６６,安芸高田市,340,132.70187342978167,34.66403109377381
R7-3401-24,3401,中国電力株式会社中電病院,中国電力株式会社中電病院,広島市中区,matched,normalized_exact,,1,,150154,中国電力株式会社　中電病院,中国電力株式会社中電病院,1,広島市中区大手町３丁目４番２７号,広島市中区,248,132.45290374027604,34.388589566208495
R7-3401-25,3401,太田川病院,太田川病院,広島市東区,matched,normalized_exact,,1,,149902,太田川病院,太田川病院,1,広島市東区戸坂千足１―２１―２５,広島市東区,214,132.48412420269852,34.4368160301137
R7-3401-26,3401,国家公務員共済組合連合会広島記念病院,国家公務員広島記念病院,広島市中区,matched,normalized_exact,,1,,150009,国家公務員共済組合連合会　広島記念病院,国家公務員広島記念病院,1,広島市中区本川町１－４－３,広島市中区,200,132.449434364052,34.39569152034003
R7-3401-27,3401,メリィホスピタル,メリィホスピタル,広島市安佐南区,matched,normalized_exact,,1,,147950,メリィホスピタル,メリィホスピタル,1,広島市安佐南区大塚西三丁目１‐２０,広島市安佐南区,199,132.392173,34.446126
