published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,12,千葉県,1204,印旛,718337,71.8337,万人,691.66,0.23399999999999999,0.23399999999999999,0.289,0.289
R7,12,千葉県,1205,香取海匝,262351,26.2351,万人,717.47,0.20800000000000002,0.20800000000000002,0.22399999999999998,0.22399999999999998
R7,12,千葉県,1206,山武長生夷隅,410235,41.0235,万人,1161.75,0.45899999999999996,0.45899999999999996,0.076,0.076
R7,12,千葉県,1207,安房,120093,12.0093,万人,576.5,0.05,0.05,0.373,0.373
R7,12,千葉県,1208,君津,324720,32.472,万人,758.22,0.273,0.273,0.071,0.071
R7,12,千葉県,1209,市原,269524,26.9524,万人,368.17,0.306,0.306,0.27899999999999997,0.27899999999999997
R7,13,東京都,1301,区中央部,947858,94.7858,万人,63.64,0.299,0.299,0.733,0.733
R7,13,東京都,1302,区南部,1170569,117.0569,万人,83.67,0.239,0.239,0.16899999999999998,0.16899999999999998
R7,13,東京都,1303,区西南部,1475635,147.5635,万人,87.83,0.40399999999999997,0.40399999999999997,0.385,0.385
R7,13,東京都,1304,区西部,1285373,128.5373,万人,67.87,0.314,0.314,0.465,0.465
R7,13,東京都,1305,区西北部,1993903,199.3903,万人,113.92,0.324,0.324,0.226,0.226
R7,13,東京都,1306,区東北部,1365611,136.5611,万人,98.21,0.354,0.354,0.226,0.226
R7,13,東京都,1307,区東部,1494327,149.4327,万人,103.83,0.402,0.402,0.3,0.3
R7,13,東京都,1308,西多摩,379043,37.9043,万人,572.7,0.406,0.406,0.096,0.096
R7,13,東京都,1309,南多摩,1440971,144.0971,万人,324.46,0.345,0.345,0.215,0.215
R7,13,東京都,1310,北多摩西部,658632,65.8632,万人,90.05,0.35200000000000004,0.35200000000000004,0.341,0.341
R7,13,東京都,1311,北多摩南部,1061790,106.179,万人,96.1,0.382,0.382,0.49700000000000005,0.49700000000000005
R7,13,東京都,1312,北多摩北部,749421,74.9421,万人,76.51,0.34700000000000003,0.34700000000000003,0.33299999999999996,0.33299999999999996
R7,13,東京都,1313,島しょ,24461,2.4461,万人,401.77,0.893,0.893,0,0
R7,14,神奈川県,1404,川崎北部,870495,87.0495,万人,78.72,0.35200000000000004,0.35200000000000004,0.336,0.336
R7,14,神奈川県,1405,川崎南部,667767,66.7767,万人,64.28,0.25,0.25,0.297,0.297
R7,14,神奈川県,1406,横須賀・三浦,691582,69.1582,万人,206.86,0.228,0.228,0.203,0.203
R7,14,神奈川県,1407,湘南東部,727642,72.7642,万人,118.61,0.244,0.244,0.21899999999999997,0.21899999999999997
R7,14,神奈川県,1408,湘南西部,581839,58.1839,万人,253.4,0.217,0.217,0.271,0.271
R7,14,神奈川県,1409,県央,858535,85.8535,万人,292.75,0.322,0.322,0.231,0.231
R7,14,神奈川県,1410,相模原,725493,72.5493,万人,328.91,0.25,0.25,0.266,0.266
R7,14,神奈川県,1411,県西,336493,33.6493,万人,635.09,0.264,0.264,0.11900000000000001,0.11900000000000001
R7,14,神奈川県,1412,横浜,3777491,377.7491,万人,437.55,0.154,0.154,0.14300000000000002,0.14300000000000002
R7,15,新潟県,1501,下越,200610,20.061,万人,2319.22,0.19399999999999998,0.19399999999999998,0.136,0.136
R7,15,新潟県,1502,新潟,887561,88.7561,万人,2223.98,0.040999999999999995,0.040999999999999995,0.12,0.12
R7,15,新潟県,1503,県央,216216,21.6216,万人,733.53,0.382,0.382,0.09,0.09
R7,15,新潟県,1504,中越,430288,43.0288,万人,1636.84,0.051,0.051,0.16399999999999998,0.16399999999999998
R7,15,新潟県,1505,魚沼,155910,15.591,万人,2649.2,0.27,0.27,0.035,0.035
R7,15,新潟県,1506,上越,259195,25.9195,万人,2165.68,0.08,0.08,0.02,0.02
R7,15,新潟県,1507,佐渡,51492,5.1492,万人,855.66,0.242,0.242,0.015,0.015
R7,16,富山県,1601,新川,115093,11.5093,万人,924.47,0.21100000000000002,0.21100000000000002,0.053,0.053
R7,16,富山県,1602,富山,493562,49.3562,万人,1843.87,0.034,0.034,0.161,0.161
R7,16,富山県,1603,高岡,301085,30.1085,万人,549.56,0.174,0.174,0.077,0.077
R7,16,富山県,1604,砺波,125074,12.5074,万人,929.74,0.261,0.261,0.13,0.13
R7,17,石川県,1701,南加賀,224094,22.4094,万人,775.7,0.222,0.222,0.081,0.081
R7,17,石川県,1702,石川中央,729320,72.932,万人,1432.49,0.027000000000000003,0.027000000000000003,0.158,0.158
R7,17,石川県,1703,能登中部,117998,11.7998,万人,847.87,0.22,0.22,0.14400000000000002,0.14400000000000002
R7,17,石川県,1704,能登北部,61114,6.1114,万人,1130.0,0.522,0.522,0.015,0.015
R7,18,福井県,1801,福井・坂井,397298,39.7298,万人,957.49,0.017,0.017,0.253,0.253
R7,18,福井県,1802,奥越,53436,5.3436,万人,1126.31,0.436,0.436,0.016,0.016
R7,18,福井県,1803,丹南,181456,18.1456,万人,1006.78,0.36,0.36,0.016,0.016
R7,18,福井県,1804,嶺南,134673,13.4673,万人,1099.95,0.322,0.322,0.011000000000000001,0.011000000000000001
R7,19,山梨県,1901,中北,459608,45.9608,万人,1335.5,0.131,0.131,0.22699999999999998,0.22699999999999998
R7,19,山梨県,1902,峡東,129619,12.9619,万人,755.83,0.287,0.287,0.308,0.308
R7,19,山梨県,1903,峡南,47836,4.7836,万人,1059.99,0.545,0.545,0.193,0.193
R7,19,山梨県,1904,富士・東部,172911,17.2911,万人,1309.25,0.361,0.361,0.040999999999999995,0.040999999999999995
R7,20,長野県,2001,佐久,204416,20.4416,万人,1571.17,0.10300000000000001,0.10300000000000001,0.18,0.18
R7,20,長野県,2002,上小,193898,19.3898,万人,905.37,0.27,0.27,0.052000000000000005,0.052000000000000005
R7,20,長野県,2003,諏訪,193838,19.3838,万人,715.75,0.09699999999999999,0.09699999999999999,0.18899999999999997,0.18899999999999997
R7,20,長野県,2004,上伊那,179892,17.9892,万人,1348.4,0.353,0.353,0.07200000000000001,0.07200000000000001
R7,20,長野県,2005,飯伊,155346,15.5346,万人,1928.91,0.106,0.106,0.067,0.067
R7,20,長野県,2006,木曽,25476,2.5476,万人,1546.17,0.48700000000000004,0.48700000000000004,0.05,0.05
R7,20,長野県,2007,松本,423668,42.3668,万人,1868.73,0.054000000000000006,0.054000000000000006,0.204,0.204
R7,20,長野県,2008,大北,56232,5.6232,万人,1109.65,0.406,0.406,0.068,0.068
