published_fy,pref_code,pref_name,area_code,area_name,bed_function,series,year,beds
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2024,0
R7,01,北海道,0103,北渡島檜山,高度急性期,実績,2025,0
R7,01,北海道,0103,北渡島檜山,高度急性期,見込量,2026,0
R7,01,北海道,0103,北渡島檜山,高度急性期,必要数,2025,18
R7,01,北海道,0103,北渡島檜山,急性期,実績,2015,370
R7,01,北海道,0103,北渡島檜山,急性期,実績,2018,385
R7,01,北海道,0103,北渡島檜山,急性期,実績,2019,337
R7,01,北海道,0103,北渡島檜山,急性期,実績,2020,267
R7,01,北海道,0103,北渡島檜山,急性期,実績,2021,108
R7,01,北海道,0103,北渡島檜山,急性期,実績,2022,207
R7,01,北海道,0103,北渡島檜山,急性期,実績,2023,108
R7,01,北海道,0103,北渡島檜山,急性期,実績,2024,91
R7,01,北海道,0103,北渡島檜山,急性期,実績,2025,91
R7,01,北海道,0103,北渡島檜山,急性期,見込量,2026,91
R7,01,北海道,0103,北渡島檜山,急性期,必要数,2025,103
R7,01,北海道,0103,北渡島檜山,回復期,実績,2015,52
R7,01,北海道,0103,北渡島檜山,回復期,実績,2018,40
R7,01,北海道,0103,北渡島檜山,回復期,実績,2019,68
R7,01,北海道,0103,北渡島檜山,回復期,実績,2020,138
R7,01,北海道,0103,北渡島檜山,回復期,実績,2021,321
R7,01,北海道,0103,北渡島檜山,回復期,実績,2022,222
R7,01,北海道,0103,北渡島檜山,回復期,実績,2023,375
R7,01,北海道,0103,北渡島檜山,回復期,実績,2024,345
R7,01,北海道,0103,北渡島檜山,回復期,実績,2025,345
R7,01,北海道,0103,北渡島檜山,回復期,見込量,2026,248
R7,01,北海道,0103,北渡島檜山,回復期,必要数,2025,196
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2015,571
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2018,473
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2019,454
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2020,214
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2021,220
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2022,214
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2023,214
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2024,214
R7,01,北海道,0103,北渡島檜山,慢性期,実績,2025,214
R7,01,北海道,0103,北渡島檜山,慢性期,見込量,2026,214
R7,01,北海道,0103,北渡島檜山,慢性期,必要数,2025,228
R7,01,北海道,0104,札幌,合計,実績,2015,34004
R7,01,北海道,0104,札幌,合計,実績,2018,34681
R7,01,北海道,0104,札幌,合計,実績,2019,34101
R7,01,北海道,0104,札幌,合計,実績,2020,32786
R7,01,北海道,0104,札幌,合計,実績,2021,33126
R7,01,北海道,0104,札幌,合計,実績,2022,33215
R7,01,北海道,0104,札幌,合計,実績,2023,33223
R7,01,北海道,0104,札幌,合計,実績,2024,33106
R7,01,北海道,0104,札幌,合計,実績,2025,33106
R7,01,北海道,0104,札幌,合計,見込量,2026,32810
R7,01,北海道,0104,札幌,合計,必要数,2025,35786
R7,01,北海道,0104,札幌,高度急性期,実績,2015,4276
R7,01,北海道,0104,札幌,高度急性期,実績,2018,2572
R7,01,北海道,0104,札幌,高度急性期,実績,2019,3376
R7,01,北海道,0104,札幌,高度急性期,実績,2020,2691
R7,01,北海道,0104,札幌,高度急性期,実績,2021,2448
