published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,14,神奈川県,1405,川崎南部,流出率,0.24228303641029114
R7,14,神奈川県,1406,横須賀・三浦,流入率,0.2591243124695851
R7,14,神奈川県,1406,横須賀・三浦,流出率,0.2622218329431094
R7,14,神奈川県,1407,湘南東部,流入率,0.19106587693254296
R7,14,神奈川県,1407,湘南東部,流出率,0.2764410591097244
R7,14,神奈川県,1408,湘南西部,流入率,0.2636398273610213
R7,14,神奈川県,1408,湘南西部,流出率,0.16774993907892632
R7,14,神奈川県,1409,県央,流入率,0.19849408111060307
R7,14,神奈川県,1409,県央,流出率,0.381206477188197
R7,14,神奈川県,1410,相模原,流入率,0.27356111009282247
R7,14,神奈川県,1410,相模原,流出率,0.2121684313365314
R7,14,神奈川県,1411,県西,流入率,0.11082399326757186
R7,14,神奈川県,1411,県西,流出率,0.2917551909252336
R7,14,神奈川県,1412,横浜,流入率,0.16528087325786944
R7,14,神奈川県,1412,横浜,流出率,0.1823079536456016
R7,15,新潟県,1501,下越,流入率,0.16993483069310855
R7,15,新潟県,1501,下越,流出率,0.1788790742212003
R7,15,新潟県,1502,新潟,流入率,0.1426211084300778
R7,15,新潟県,1502,新潟,流出率,0.05844560793896736
R7,15,新潟県,1503,県央,流入率,0.09121093031827698
R7,15,新潟県,1503,県央,流出率,0.36200672519915145
R7,15,新潟県,1504,中越,流入率,0.12969658342320423
R7,15,新潟県,1504,中越,流出率,0.06675901969487874
R7,15,新潟県,1505,魚沼,流入率,0.038781353766747184
R7,15,新潟県,1505,魚沼,流出率,0.1814642274724093
R7,15,新潟県,1506,上越,流入率,0.023387734718624875
R7,15,新潟県,1506,上越,流出率,0.10226010407364616
R7,15,新潟県,1507,佐渡,流入率,0.016335034130359638
R7,15,新潟県,1507,佐渡,流出率,0.23014803618742163
R7,16,富山県,1601,新川,流入率,0.06015395785734334
R7,16,富山県,1601,新川,流出率,0.1831761966644656
R7,16,富山県,1602,富山,流入率,0.17047015626067052
R7,16,富山県,1602,富山,流出率,0.03535630222745778
R7,16,富山県,1603,高岡,流入率,0.08282960606789014
R7,16,富山県,1603,高岡,流出率,0.1827489933332389
R7,16,富山県,1604,砺波,流入率,0.07698524270398799
R7,16,富山県,1604,砺波,流出率,0.2667426037823658
R7,17,石川県,1701,南加賀,流入率,0.05615669627118103
R7,17,石川県,1701,南加賀,流出率,0.3265619155582895
R7,17,石川県,1702,石川中央,流入率,0.21585336830464874
R7,17,石川県,1702,石川中央,流出率,0.027521424022660113
R7,17,石川県,1703,能登中部,流入率,0.14145820503565842
R7,17,石川県,1703,能登中部,流出率,0.35600507158245787
R7,17,石川県,1704,能登北部,流入率,0.031174397980601953
R7,17,石川県,1704,能登北部,流出率,0.5758972636762221
R7,18,福井県,1801,福井・坂井,流入率,0.2730207101542238
R7,18,福井県,1801,福井・坂井,流出率,0.030627725113590576
R7,18,福井県,1802,奥越,流入率,0.04338061954279815
R7,18,福井県,1802,奥越,流出率,0.4924495244113509
R7,18,福井県,1803,丹南,流入率,0.04523238483771441
