published_fy,direction,pref_code,pref_name,area_code,area_name,phase,rank,partner_pref_code,partner_pref_name,partner_area_code,partner_area_name,rate,rate_source_value,value_status
R7,流入率,01,北海道,0104,札幌,包括期,8,01,北海道,0116,宗谷,0.005328842641020369,0.005328842641020369,observed
R7,流入率,01,北海道,0104,札幌,包括期,9,01,北海道,0119,十勝,0.0042685003269118706,0.0042685003269118706,observed
R7,流入率,01,北海道,0104,札幌,包括期,10,01,北海道,0117,北網,0.0038572657153402605,0.0038572657153402605,observed
R7,流入率,01,北海道,0104,札幌,包括期,11,01,北海道,0115,留萌,0.0036457709728583746,0.0036457709728583746,observed
R7,流入率,01,北海道,0104,札幌,包括期,12,01,北海道,0101,南渡島,0.002961884585155378,0.002961884585155378,observed
R7,流入率,01,北海道,0104,札幌,包括期,13,01,北海道,0120,釧路,0.0029561031522684776,0.0029561031522684776,observed
R7,流入率,01,北海道,0104,札幌,包括期,14,01,北海道,0112,上川中部,0.0026437588976715764,0.0026437588976715764,observed
R7,流入率,01,北海道,0104,札幌,包括期,15,01,北海道,0118,遠紋,0.002196186705600953,0.002196186705600953,observed
R7,流入率,01,北海道,0104,札幌,包括期,16,01,北海道,0121,根室,0.001489237728271191,0.001489237728271191,observed
R7,流入率,01,北海道,0104,札幌,包括期,17,01,北海道,0103,北渡島檜山,0.0011624665916990771,0.0011624665916990771,observed
R7,流入率,01,北海道,0104,札幌,包括期,18,01,北海道,0113,上川北部,0.0009311295842344737,0.0009311295842344737,observed
R7,流入率,01,北海道,0104,札幌,慢性期,1,01,北海道,0104,札幌,0.9015581026459648,0.9015581026459648,observed
R7,流入率,01,北海道,0104,札幌,慢性期,2,01,北海道,0105,後志,0.03342569747377071,0.03342569747377071,observed
R7,流入率,01,北海道,0104,札幌,慢性期,3,01,北海道,0106,南空知,0.01670192310847562,0.01670192310847562,observed
R7,流入率,01,北海道,0104,札幌,慢性期,4,01,北海道,0110,東胆振,0.01054930833249891,0.01054930833249891,observed
R7,流入率,01,北海道,0104,札幌,慢性期,5,01,北海道,0109,西胆振,0.005405278383662938,0.005405278383662938,observed
R7,流入率,01,北海道,0104,札幌,慢性期,6,01,北海道,0107,中空知,0.005351877613270726,0.005351877613270726,observed
R7,流入率,01,北海道,0104,札幌,慢性期,7,01,北海道,0111,日高,0.003196575080493539,0.003196575080493539,observed
R7,流入率,01,北海道,0104,札幌,慢性期,8,01,北海道,0115,留萌,0.003081278926694995,0.003081278926694995,observed
R7,流入率,01,北海道,0104,札幌,慢性期,9,01,北海道,0117,北網,0.002889434775017888,0.002889434775017888,observed
R7,流入率,01,北海道,0104,札幌,慢性期,10,01,北海道,0116,宗谷,0.0023336469005871855,0.0023336469005871855,observed
R7,流入率,01,北海道,0104,札幌,慢性期,11,01,北海道,0101,南渡島,0.0022279269036768927,0.0022279269036768927,observed
R7,流入率,01,北海道,0104,札幌,慢性期,12,01,北海道,0112,上川中部,0.001879082802612574,0.001879082802612574,observed
R7,流入率,01,北海道,0104,札幌,慢性期,13,01,北海道,0119,十勝,0.0017710376405311993,0.0017710376405311993,observed
R7,流入率,01,北海道,0104,札幌,慢性期,14,01,北海道,0120,釧路,0.0014671885223884987,0.0014671885223884987,observed
