area_code,area_name,pref_code,pref_name,bed_function,plan_2025_r6,actual_2025_r7,actual_2024_r6,actual_2024_r7,need_2025
0603,置賜,06,山形県,回復期,572,572,572,572,573
0603,置賜,06,山形県,慢性期,493,523,482,523,407
0604,庄内,06,山形県,合計,2378,2282,2347,2282,2071
0604,庄内,06,山形県,高度急性期,323,279,279,279,208
0604,庄内,06,山形県,急性期,1063,1080,1188,1080,614
0604,庄内,06,山形県,回復期,626,567,514,567,698
0604,庄内,06,山形県,慢性期,366,356,366,356,551
0701,県北,07,福島県,合計,4389,4243,4367,4243,3985
0701,県北,07,福島県,高度急性期,476,434,440,434,404
0701,県北,07,福島県,急性期,2764,2528,2765,2528,1462
0701,県北,07,福島県,回復期,756,782,729,782,1667
0701,県北,07,福島県,慢性期,393,499,433,499,452
0702,県中,07,福島県,合計,4846,4610,4841,4610,4643
0702,県中,07,福島県,高度急性期,118,109,85,109,469
0702,県中,07,福島県,急性期,3102,2912,3242,2912,1640
0702,県中,07,福島県,回復期,665,602,580,602,1404
0702,県中,07,福島県,慢性期,961,987,934,987,1130
0703,県南,07,福島県,合計,1038,1024,1103,1024,889
0703,県南,07,福島県,高度急性期,0,0,120,0,100
0703,県南,07,福島県,急性期,793,719,739,719,387
0703,県南,07,福島県,回復期,52,52,111,52,247
0703,県南,07,福島県,慢性期,193,253,133,253,155
0706,相双,07,福島県,合計,1030,1002,1030,1002,725
0706,相双,07,福島県,高度急性期,0,0,0,0,45
0706,相双,07,福島県,急性期,728,750,728,750,233
0706,相双,07,福島県,回復期,134,84,134,84,243
0706,相双,07,福島県,慢性期,168,168,168,168,204
0707,いわき,07,福島県,合計,3257,3403,3432,3403,2696
0707,いわき,07,福島県,高度急性期,282,244,244,244,264
0707,いわき,07,福島県,急性期,1284,1262,1285,1262,809
0707,いわき,07,福島県,回復期,615,616,663,616,750
0707,いわき,07,福島県,慢性期,1076,1281,1240,1281,873
0708,会津・南会津,07,福島県,合計,2607,2399,2615,2399,2459
0708,会津・南会津,07,福島県,高度急性期,104,104,104,104,256
0708,会津・南会津,07,福島県,急性期,1718,1622,1725,1622,849
0708,会津・南会津,07,福島県,回復期,286,226,286,226,846
0708,会津・南会津,07,福島県,慢性期,499,447,500,447,508
0801,水戸,08,茨城県,合計,4824,4553,4604,4553,4478
0801,水戸,08,茨城県,高度急性期,333,300,290,300,621
0801,水戸,08,茨城県,急性期,2618,2484,2623,2484,1626
0801,水戸,08,茨城県,回復期,790,902,774,902,1510
0801,水戸,08,茨城県,慢性期,1083,867,917,867,721
0802,日立,08,茨城県,合計,2099,2069,2068,2069,1850
0802,日立,08,茨城県,高度急性期,35,47,35,47,172
0802,日立,08,茨城県,急性期,1081,996,998,996,619
0802,日立,08,茨城県,回復期,342,366,442,366,713
0802,日立,08,茨城県,慢性期,641,660,593,660,346
0803,常陸太田・ひたちなか,08,茨城県,合計,2139,2035,2044,2035,2112
0803,常陸太田・ひたちなか,08,茨城県,高度急性期,20,20,20,20,150
0803,常陸太田・ひたちなか,08,茨城県,急性期,1237,1193,1217,1193,673
0803,常陸太田・ひたちなか,08,茨城県,回復期,260,260,192,260,738
0803,常陸太田・ひたちなか,08,茨城県,慢性期,622,562,615,562,551
0804,鹿行,08,茨城県,合計,1411,1453,1379,1453,1265
0804,鹿行,08,茨城県,高度急性期,60,60,56,60,70
0804,鹿行,08,茨城県,急性期,724,692,666,692,373
0804,鹿行,08,茨城県,回復期,78,108,108,108,443
0804,鹿行,08,茨城県,慢性期,549,593,549,593,379
0805,土浦,08,茨城県,合計,1918,1898,1810,1898,1930
