published_fy,pref_code,pref_name,area_code,area_name,record_id,function_name,source_literal
R7,01,北海道,0104,札幌,R7-0104-141,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-142,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-144,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-147,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-148,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-150,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-152,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-154,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-156,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-161,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-163,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-165,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-166,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-170,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-173,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-178,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-179,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-181,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-184,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-199,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-199,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-201,二次救急,二次
R7,01,北海道,0104,札幌,R7-0104-213,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-216,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-235,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-236,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-254,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-260,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-263,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-267,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-269,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-273,在宅療養支援,在支
R7,01,北海道,0104,札幌,R7-0104-321,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-14,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-15,地域支援,地
R7,01,北海道,0105,後志,R7-0105-15,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-16,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-17,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-18,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-18,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-19,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-20,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-24,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-25,二次救急,二次
R7,01,北海道,0105,後志,R7-0105-28,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-29,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-32,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-33,在宅療養支援,在支
R7,01,北海道,0105,後志,R7-0105-36,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-14,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-15,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-15,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-18,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-20,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-21,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-21,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-22,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-23,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-23,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-24,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-24,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-26,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-27,二次救急,二次
R7,01,北海道,0106,南空知,R7-0106-28,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-35,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-36,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-38,在宅療養支援,在支
R7,01,北海道,0106,南空知,R7-0106-39,在宅療養支援,在支
R7,01,北海道,0107,中空知,R7-0107-14,三次救急,三次
R7,01,北海道,0107,中空知,R7-0107-14,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-15,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-18,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-20,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-21,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-23,二次救急,二次
R7,01,北海道,0107,中空知,R7-0107-30,在宅療養支援,在支
R7,01,北海道,0108,北空知,R7-0108-15,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-14,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-15,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-16,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-18,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-20,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-21,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-26,二次救急,二次
R7,01,北海道,0109,西胆振,R7-0109-28,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-14,地域支援,地
R7,01,北海道,0110,東胆振,R7-0110-14,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-15,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-17,在宅療養支援,在支
R7,01,北海道,0110,東胆振,R7-0110-18,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-19,在宅療養支援,在支
R7,01,北海道,0110,東胆振,R7-0110-23,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-23,在宅療養支援,在支
R7,01,北海道,0110,東胆振,R7-0110-24,二次救急,二次
R7,01,北海道,0110,東胆振,R7-0110-30,在宅療養支援,在支
R7,01,北海道,0111,日高,R7-0111-14,二次救急,二次
R7,01,北海道,0111,日高,R7-0111-15,二次救急,二次
R7,01,北海道,0111,日高,R7-0111-18,二次救急,二次
R7,01,北海道,0111,日高,R7-0111-19,二次救急,二次
R7,01,北海道,0111,日高,R7-0111-19,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-14,特定機能,特
R7,01,北海道,0112,上川中部,R7-0112-14,三次救急,三次
R7,01,北海道,0112,上川中部,R7-0112-14,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-15,地域支援,地
R7,01,北海道,0112,上川中部,R7-0112-15,三次救急,三次
R7,01,北海道,0112,上川中部,R7-0112-15,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-16,地域支援,地
R7,01,北海道,0112,上川中部,R7-0112-16,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-17,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-20,地域支援,地
R7,01,北海道,0112,上川中部,R7-0112-20,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-21,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-23,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-25,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-25,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-26,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-26,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-27,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-28,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-30,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-31,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-35,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-36,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-36,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-37,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-38,二次救急,二次
R7,01,北海道,0112,上川中部,R7-0112-42,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-44,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-46,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-47,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-48,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-49,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-55,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-56,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-59,在宅療養支援,在支
R7,01,北海道,0112,上川中部,R7-0112-68,在宅療養支援,在支
R7,01,北海道,0113,上川北部,R7-0113-14,三次救急,三次
R7,01,北海道,0113,上川北部,R7-0113-14,二次救急,二次
R7,01,北海道,0113,上川北部,R7-0113-15,二次救急,二次
R7,01,北海道,0113,上川北部,R7-0113-18,二次救急,二次
R7,01,北海道,0113,上川北部,R7-0113-19,在宅療養支援,在支
R7,01,北海道,0113,上川北部,R7-0113-20,二次救急,二次
R7,01,北海道,0113,上川北部,R7-0113-22,在宅療養支援,在支
R7,01,北海道,0114,富良野,R7-0114-14,二次救急,二次
R7,01,北海道,0114,富良野,R7-0114-17,在宅療養支援,在支
R7,01,北海道,0115,留萌,R7-0115-15,二次救急,二次
R7,01,北海道,0115,留萌,R7-0115-16,二次救急,二次
R7,01,北海道,0115,留萌,R7-0115-17,二次救急,二次
R7,01,北海道,0115,留萌,R7-0115-18,在宅療養支援,在支
R7,01,北海道,0116,宗谷,R7-0116-14,二次救急,二次
R7,01,北海道,0116,宗谷,R7-0116-17,二次救急,二次
R7,01,北海道,0116,宗谷,R7-0116-19,二次救急,二次
R7,01,北海道,0116,宗谷,R7-0116-24,在宅療養支援,在支
R7,01,北海道,0117,北網,R7-0117-14,地域支援,地
R7,01,北海道,0117,北網,R7-0117-14,三次救急,三次
R7,01,北海道,0117,北網,R7-0117-14,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-15,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-16,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-17,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-18,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-20,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-21,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-22,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-24,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-24,在宅療養支援,在支
R7,01,北海道,0117,北網,R7-0117-25,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-25,在宅療養支援,在支
R7,01,北海道,0117,北網,R7-0117-26,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-29,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-29,在宅療養支援,在支
R7,01,北海道,0117,北網,R7-0117-31,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-31,在宅療養支援,在支
R7,01,北海道,0117,北網,R7-0117-34,二次救急,二次
R7,01,北海道,0117,北網,R7-0117-36,在宅療養支援,在支
R7,01,北海道,0118,遠紋,R7-0118-14,二次救急,二次
R7,01,北海道,0118,遠紋,R7-0118-15,二次救急,二次
R7,01,北海道,0118,遠紋,R7-0118-15,在宅療養支援,在支
R7,01,北海道,0118,遠紋,R7-0118-16,在宅療養支援,在支
R7,01,北海道,0118,遠紋,R7-0118-18,二次救急,二次
R7,01,北海道,0118,遠紋,R7-0118-19,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-14,地域支援,地
R7,01,北海道,0119,十勝,R7-0119-14,三次救急,三次
R7,01,北海道,0119,十勝,R7-0119-14,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-15,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-16,地域支援,地
R7,01,北海道,0119,十勝,R7-0119-16,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-17,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-17,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-19,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-19,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-20,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-20,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-21,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-22,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-23,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-24,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-24,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-26,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-26,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-27,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-30,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-30,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-32,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-33,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-34,二次救急,二次
R7,01,北海道,0119,十勝,R7-0119-34,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-36,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-42,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-44,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-45,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-46,在宅療養支援,在支
R7,01,北海道,0119,十勝,R7-0119-54,在宅療養支援,在支
R7,01,北海道,0120,釧路,R7-0120-14,地域支援,地
R7,01,北海道,0120,釧路,R7-0120-14,三次救急,三次
R7,01,北海道,0120,釧路,R7-0120-14,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-15,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-16,地域支援,地
R7,01,北海道,0120,釧路,R7-0120-16,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-18,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-19,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-19,在宅療養支援,在支
R7,01,北海道,0120,釧路,R7-0120-22,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-23,在宅療養支援,在支
R7,01,北海道,0120,釧路,R7-0120-26,在宅療養支援,在支
R7,01,北海道,0120,釧路,R7-0120-27,二次救急,二次
R7,01,北海道,0120,釧路,R7-0120-29,二次救急,二次
R7,01,北海道,0121,根室,R7-0121-14,二次救急,二次
R7,01,北海道,0121,根室,R7-0121-14,在宅療養支援,在支
R7,01,北海道,0121,根室,R7-0121-15,二次救急,二次
R7,01,北海道,0121,根室,R7-0121-15,在宅療養支援,在支
R7,01,北海道,0121,根室,R7-0121-16,二次救急,二次
R7,01,北海道,0121,根室,R7-0121-18,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-14,特定機能,特
R7,02,青森県,0201,津軽地域,R7-0201-14,三次救急,三次
R7,02,青森県,0201,津軽地域,R7-0201-14,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-15,地域支援,地
R7,02,青森県,0201,津軽地域,R7-0201-15,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-16,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-19,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-22,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-22,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-23,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-26,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-27,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-27,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-28,二次救急,二次
R7,02,青森県,0201,津軽地域,R7-0201-28,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-30,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-31,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-36,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-37,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-41,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-42,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-48,在宅療養支援,在支
R7,02,青森県,0201,津軽地域,R7-0201-58,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-14,地域支援,地
R7,02,青森県,0202,八戸地域,R7-0202-14,三次救急,三次
R7,02,青森県,0202,八戸地域,R7-0202-14,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-15,地域支援,地
R7,02,青森県,0202,八戸地域,R7-0202-15,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-16,地域支援,地
R7,02,青森県,0202,八戸地域,R7-0202-16,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-17,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-17,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-21,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-23,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-23,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-25,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-28,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-29,二次救急,二次
R7,02,青森県,0202,八戸地域,R7-0202-29,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-31,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-35,在宅療養支援,在支
R7,02,青森県,0202,八戸地域,R7-0202-53,在宅療養支援,在支
R7,02,青森県,0203,青森地域,R7-0203-14,地域支援,地
R7,02,青森県,0203,青森地域,R7-0203-14,三次救急,三次
R7,02,青森県,0203,青森地域,R7-0203-14,二次救急,二次
