published_fy,pref_code,pref_name,area_code,area_name,demand_category,year,year_label,receipts_per_month
R7,01,北海道,0110,東胆振,外来,2040,2040年度（現状投影）,115863.778894561
R7,01,北海道,0110,東胆振,外来,2045,2045年度（現状投影）,110066.26896978612
R7,01,北海道,0110,東胆振,外来,2050,2050年度（現状投影）,104698.09220916567
R7,01,北海道,0111,日高,在宅（訪問診療）,2024,2024年度,668.9166666666666
R7,01,北海道,0111,日高,在宅（訪問診療）,2030,2030年度（現状投影）,729.4798996422213
R7,01,北海道,0111,日高,在宅（訪問診療）,2035,2035年度（現状投影）,750.5918067851021
R7,01,北海道,0111,日高,在宅（訪問診療）,2040,2040年度（現状投影）,768.5001719158923
R7,01,北海道,0111,日高,在宅（訪問診療）,2045,2045年度（現状投影）,755.7203291517644
R7,01,北海道,0111,日高,在宅（訪問診療）,2050,2050年度（現状投影）,692.1806872035379
R7,01,北海道,0111,日高,外来,2024,2024年度,27010.083333333332
R7,01,北海道,0111,日高,外来,2030,2030年度（現状投影）,24877.026363854
R7,01,北海道,0111,日高,外来,2035,2035年度（現状投影）,23022.70751174676
R7,01,北海道,0111,日高,外来,2040,2040年度（現状投影）,21095.970041845838
R7,01,北海道,0111,日高,外来,2045,2045年度（現状投影）,19167.44129533288
R7,01,北海道,0111,日高,外来,2050,2050年度（現状投影）,17347.252164735008
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2024,2024年度,4305.666666666667
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2030,2030年度（現状投影）,5049.453666911457
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2035,2035年度（現状投影）,5520.562758544985
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2040,2040年度（現状投影）,5902.854683966549
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2045,2045年度（現状投影）,6004.000322463466
R7,01,北海道,0112,上川中部,在宅（訪問診療）,2050,2050年度（現状投影）,5744.726640623764
R7,01,北海道,0112,上川中部,外来,2024,2024年度,277288.33333333326
R7,01,北海道,0112,上川中部,外来,2030,2030年度（現状投影）,266106.1264999755
R7,01,北海道,0112,上川中部,外来,2035,2035年度（現状投影）,254616.32484983958
R7,01,北海道,0112,上川中部,外来,2040,2040年度（現状投影）,241886.2098491134
R7,01,北海道,0112,上川中部,外来,2045,2045年度（現状投影）,229054.29442364536
R7,01,北海道,0112,上川中部,外来,2050,2050年度（現状投影）,216996.3078323286
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2024,2024年度,157.41666666666666
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2030,2030年度（現状投影）,168.22560035199513
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2035,2035年度（現状投影）,170.97069628923313
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2040,2040年度（現状投影）,173.19631044760186
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2045,2045年度（現状投影）,168.66783047042333
R7,01,北海道,0113,上川北部,在宅（訪問診療）,2050,2050年度（現状投影）,152.24835408917858
R7,01,北海道,0113,上川北部,外来,2024,2024年度,30780.91666666666
R7,01,北海道,0113,上川北部,外来,2030,2030年度（現状投影）,28245.20828204735
R7,01,北海道,0113,上川北部,外来,2035,2035年度（現状投影）,25806.440161532184
R7,01,北海道,0113,上川北部,外来,2040,2040年度（現状投影）,23501.624973472666
R7,01,北海道,0113,上川北部,外来,2045,2045年度（現状投影）,21326.02840555748
R7,01,北海道,0113,上川北部,外来,2050,2050年度（現状投影）,19339.464725174825
R7,01,北海道,0114,富良野,在宅（訪問診療）,2024,2024年度,135.66666666666666
R7,01,北海道,0114,富良野,在宅（訪問診療）,2030,2030年度（現状投影）,152.62501726229343
R7,01,北海道,0114,富良野,在宅（訪問診療）,2035,2035年度（現状投影）,160.99811192740077
R7,01,北海道,0114,富良野,在宅（訪問診療）,2040,2040年度（現状投影）,167.66853615143577
R7,01,北海道,0114,富良野,在宅（訪問診療）,2045,2045年度（現状投影）,170.58642130642014
R7,01,北海道,0114,富良野,在宅（訪問診療）,2050,2050年度（現状投影）,160.41675600781798
R7,01,北海道,0114,富良野,外来,2024,2024年度,18403.5
R7,01,北海道,0114,富良野,外来,2030,2030年度（現状投影）,16963.533319022274
R7,01,北海道,0114,富良野,外来,2035,2035年度（現状投影）,15834.484721568251
R7,01,北海道,0114,富良野,外来,2040,2040年度（現状投影）,14677.208223774702
R7,01,北海道,0114,富良野,外来,2045,2045年度（現状投影）,13523.871075871179
R7,01,北海道,0114,富良野,外来,2050,2050年度（現状投影）,12412.66147173016
R7,01,北海道,0115,留萌,在宅（訪問診療）,2024,2024年度,409.83333333333337
R7,01,北海道,0115,留萌,在宅（訪問診療）,2030,2030年度（現状投影）,431.0169040045518
R7,01,北海道,0115,留萌,在宅（訪問診療）,2035,2035年度（現状投影）,441.9458270466029
R7,01,北海道,0115,留萌,在宅（訪問診療）,2040,2040年度（現状投影）,439.6134423051649
R7,01,北海道,0115,留萌,在宅（訪問診療）,2045,2045年度（現状投影）,413.86888421105925
R7,01,北海道,0115,留萌,在宅（訪問診療）,2050,2050年度（現状投影）,361.74539255864534
R7,01,北海道,0115,留萌,外来,2024,2024年度,19872.583333333336
R7,01,北海道,0115,留萌,外来,2030,2030年度（現状投影）,17980.781857767008
R7,01,北海道,0115,留萌,外来,2035,2035年度（現状投影）,16191.262998367845
R7,01,北海道,0115,留萌,外来,2040,2040年度（現状投影）,14406.178823504039
R7,01,北海道,0115,留萌,外来,2045,2045年度（現状投影）,12679.098375857879
R7,01,北海道,0115,留萌,外来,2050,2050年度（現状投影）,11147.361232380983
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2024,2024年度,187
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2030,2030年度（現状投影）,210.12296965843558
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2035,2035年度（現状投影）,219.28354132558331
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2040,2040年度（現状投影）,225.38133681973315
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2045,2045年度（現状投影）,218.9046325050176
R7,01,北海道,0116,宗谷,在宅（訪問診療）,2050,2050年度（現状投影）,200.93956591124612
R7,01,北海道,0116,宗谷,外来,2024,2024年度,26403.41666666667
R7,01,北海道,0116,宗谷,外来,2030,2030年度（現状投影）,24847.923134643315
R7,01,北海道,0116,宗谷,外来,2035,2035年度（現状投影）,22952.81176926068
R7,01,北海道,0116,宗谷,外来,2040,2040年度（現状投影）,20974.479433476154
R7,01,北海道,0116,宗谷,外来,2045,2045年度（現状投影）,18968.619722007556
R7,01,北海道,0116,宗谷,外来,2050,2050年度（現状投影）,17131.97429169503
R7,01,北海道,0117,北網,在宅（訪問診療）,2024,2024年度,1292.75
R7,01,北海道,0117,北網,在宅（訪問診療）,2030,2030年度（現状投影）,1520.0568588352444
R7,01,北海道,0117,北網,在宅（訪問診療）,2035,2035年度（現状投影）,1637.2316566518443
R7,01,北海道,0117,北網,在宅（訪問診療）,2040,2040年度（現状投影）,1767.1548603872882
R7,01,北海道,0117,北網,在宅（訪問診療）,2045,2045年度（現状投影）,1812.4107090688353
R7,01,北海道,0117,北網,在宅（訪問診療）,2050,2050年度（現状投影）,1704.0077096253908
R7,01,北海道,0117,北網,外来,2024,2024年度,127447.16666666666
R7,01,北海道,0117,北網,外来,2030,2030年度（現状投影）,121346.36309230996
R7,01,北海道,0117,北網,外来,2035,2035年度（現状投影）,114275.7999287816
R7,01,北海道,0117,北網,外来,2040,2040年度（現状投影）,106524.23099522373
R7,01,北海道,0117,北網,外来,2045,2045年度（現状投影）,98394.71189182113
R7,01,北海道,0117,北網,外来,2050,2050年度（現状投影）,90659.3732161235
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2024,2024年度,144.83333333333334
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2030,2030年度（現状投影）,156.79218869700807
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2035,2035年度（現状投影）,158.9194014508691
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2040,2040年度（現状投影）,161.04102211867695
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2045,2045年度（現状投影）,155.92847392470614
R7,01,北海道,0118,遠紋,在宅（訪問診療）,2050,2050年度（現状投影）,141.18390496396785
R7,01,北海道,0118,遠紋,外来,2024,2024年度,27990.333333333336
R7,01,北海道,0118,遠紋,外来,2030,2030年度（現状投影）,25843.11480544456
R7,01,北海道,0118,遠紋,外来,2035,2035年度（現状投影）,23830.60747842807
R7,01,北海道,0118,遠紋,外来,2040,2040年度（現状投影）,21777.15213521666
R7,01,北海道,0118,遠紋,外来,2045,2045年度（現状投影）,19768.558155023315
R7,01,北海道,0118,遠紋,外来,2050,2050年度（現状投影）,17876.168657981045
R7,01,北海道,0119,十勝,在宅（訪問診療）,2024,2024年度,2524.7499999999995
R7,01,北海道,0119,十勝,在宅（訪問診療）,2030,2030年度（現状投影）,3023.8942364021036
R7,01,北海道,0119,十勝,在宅（訪問診療）,2035,2035年度（現状投影）,3319.8877186649015
R7,01,北海道,0119,十勝,在宅（訪問診療）,2040,2040年度（現状投影）,3625.575433444188
R7,01,北海道,0119,十勝,在宅（訪問診療）,2045,2045年度（現状投影）,3785.7302963195243
R7,01,北海道,0119,十勝,在宅（訪問診療）,2050,2050年度（現状投影）,3682.0636450466154
R7,01,北海道,0119,十勝,外来,2024,2024年度,215625.41666666666
R7,01,北海道,0119,十勝,外来,2030,2030年度（現状投影）,209290.06693708035
R7,01,北海道,0119,十勝,外来,2035,2035年度（現状投影）,202317.12365567125
R7,01,北海道,0119,十勝,外来,2040,2040年度（現状投影）,194245.91621807852
R7,01,北海道,0119,十勝,外来,2045,2045年度（現状投影）,185311.60700381425
R7,01,北海道,0119,十勝,外来,2050,2050年度（現状投影）,176144.4405766441
R7,01,北海道,0120,釧路,在宅（訪問診療）,2024,2024年度,1833.3333333333333
R7,01,北海道,0120,釧路,在宅（訪問診療）,2030,2030年度（現状投影）,2137.794774585817
R7,01,北海道,0120,釧路,在宅（訪問診療）,2035,2035年度（現状投影）,2293.5734222638657
R7,01,北海道,0120,釧路,在宅（訪問診療）,2040,2040年度（現状投影）,2431.837132748037
R7,01,北海道,0120,釧路,在宅（訪問診療）,2045,2045年度（現状投影）,2446.6637348534123
R7,01,北海道,0120,釧路,在宅（訪問診療）,2050,2050年度（現状投影）,2278.884085623754
R7,01,北海道,0120,釧路,外来,2024,2024年度,142900.50000000003
R7,01,北海道,0120,釧路,外来,2030,2030年度（現状投影）,134072.00467440704
R7,01,北海道,0120,釧路,外来,2035,2035年度（現状投影）,125224.19626120024
R7,01,北海道,0120,釧路,外来,2040,2040年度（現状投影）,115535.78575765192
R7,01,北海道,0120,釧路,外来,2045,2045年度（現状投影）,105659.00556307343
R7,01,北海道,0120,釧路,外来,2050,2050年度（現状投影）,96347.70755610093
R7,01,北海道,0121,根室,在宅（訪問診療）,2024,2024年度,88
R7,01,北海道,0121,根室,在宅（訪問診療）,2030,2030年度（現状投影）,108.29195417814593
R7,01,北海道,0121,根室,在宅（訪問診療）,2035,2035年度（現状投影）,118.33988090548792
R7,01,北海道,0121,根室,在宅（訪問診療）,2040,2040年度（現状投影）,127.34430880418645
R7,01,北海道,0121,根室,在宅（訪問診療）,2045,2045年度（現状投影）,132.97759013476644
R7,01,北海道,0121,根室,在宅（訪問診療）,2050,2050年度（現状投影）,127.58304427665203
R7,01,北海道,0121,根室,外来,2024,2024年度,25143
R7,01,北海道,0121,根室,外来,2030,2030年度（現状投影）,24023.89104654253
R7,01,北海道,0121,根室,外来,2035,2035年度（現状投影）,22764.548031407758
R7,01,北海道,0121,根室,外来,2040,2040年度（現状投影）,21376.95664186778
R7,01,北海道,0121,根室,外来,2045,2045年度（現状投影）,19861.762712601816
R7,01,北海道,0121,根室,外来,2050,2050年度（現状投影）,18318.84281436459
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2024,2024年度,2025.0833333333335
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2030,2030年度（現状投影）,2243.0364671987
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2035,2035年度（現状投影）,2363.2947802743192
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2040,2040年度（現状投影）,2493.622586154428
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2045,2045年度（現状投影）,2566.2767109751007
R7,02,青森県,0201,津軽地域,在宅（訪問診療）,2050,2050年度（現状投影）,2503.3979681319097
R7,02,青森県,0201,津軽地域,外来,2024,2024年度,203067.6666666667
R7,02,青森県,0201,津軽地域,外来,2030,2030年度（現状投影）,189536.73155786304
R7,02,青森県,0201,津軽地域,外来,2035,2035年度（現状投影）,178339.78034307703
R7,02,青森県,0201,津軽地域,外来,2040,2040年度（現状投影）,166267.09054342468
R7,02,青森県,0201,津軽地域,外来,2045,2045年度（現状投影）,153774.82301423606
R7,02,青森県,0201,津軽地域,外来,2050,2050年度（現状投影）,141433.16452263892
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2024,2024年度,2236.4166666666665
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2030,2030年度（現状投影）,2578.136698019127
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2035,2035年度（現状投影）,2810.598144993882
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2040,2040年度（現状投影）,3037.221704755615
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2045,2045年度（現状投影）,3158.9437840561186
R7,02,青森県,0202,八戸地域,在宅（訪問診療）,2050,2050年度（現状投影）,3101.7567923615106
R7,02,青森県,0202,八戸地域,外来,2024,2024年度,227480.83333333334
R7,02,青森県,0202,八戸地域,外来,2030,2030年度（現状投影）,217450.79823469705
R7,02,青森県,0202,八戸地域,外来,2035,2035年度（現状投影）,207088.95932151718
R7,02,青森県,0202,八戸地域,外来,2040,2040年度（現状投影）,195079.10899749666
R7,02,青森県,0202,八戸地域,外来,2045,2045年度（現状投影）,182581.88209445166
R7,02,青森県,0202,八戸地域,外来,2050,2050年度（現状投影）,170005.26153414813
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2024,2024年度,1843.5
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2030,2030年度（現状投影）,2081.6310572589314
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2035,2035年度（現状投影）,2250.0941100551872
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2040,2040年度（現状投影）,2421.8588916760377
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2045,2045年度（現状投影）,2499.199935414927
R7,02,青森県,0203,青森地域,在宅（訪問診療）,2050,2050年度（現状投影）,2432.1823243034996
R7,02,青森県,0203,青森地域,外来,2024,2024年度,211724.83333333334
R7,02,青森県,0203,青森地域,外来,2030,2030年度（現状投影）,201232.38064208935
R7,02,青森県,0203,青森地域,外来,2035,2035年度（現状投影）,190373.85301467715
R7,02,青森県,0203,青森地域,外来,2040,2040年度（現状投影）,178150.0720355522
R7,02,青森県,0203,青森地域,外来,2045,2045年度（現状投影）,165242.90804446916
R7,02,青森県,0203,青森地域,外来,2050,2050年度（現状投影）,152519.4958620835
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2024,2024年度,177.75
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2030,2030年度（現状投影）,192.6235231270668
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2035,2035年度（現状投影）,194.37672486638013
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2040,2040年度（現状投影）,204.18451564736722
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2045,2045年度（現状投影）,210.13716909667772
R7,02,青森県,0204,西北五地域,在宅（訪問診療）,2050,2050年度（現状投影）,202.1097231167546
R7,02,青森県,0204,西北五地域,外来,2024,2024年度,72818.99999999999
R7,02,青森県,0204,西北五地域,外来,2030,2030年度（現状投影）,65128.393022868884
R7,02,青森県,0204,西北五地域,外来,2035,2035年度（現状投影）,59744.64848313143
R7,02,青森県,0204,西北五地域,外来,2040,2040年度（現状投影）,54224.79422065466
R7,02,青森県,0204,西北五地域,外来,2045,2045年度（現状投影）,48578.770695741885
R7,02,青森県,0204,西北五地域,外来,2050,2050年度（現状投影）,42942.64412275727
R7,02,青森県,0205,上十三地域,在宅（訪問診療）,2024,2024年度,835.1666666666667
